Condition,Landmark,Mean error across runs (px),SD across runs (px),Mean paired change vs baseline (px),SD paired change (px),Runs with increased error (%)
Baseline,head_fc,2.013371846922389,2.5108268372901845,0.0,0.0,
Baseline,head_bl,1.4506271065246414,0.3095133786086441,0.0,0.0,
Baseline,head_br,1.1567034541696801,0.5961261598554704,0.0,0.0,
Baseline,thorax_fr,1.2516966159946077,0.38534892023815465,0.0,0.0,
Baseline,thorax_fl,0.9752856989330011,0.2881951481558102,0.0,0.0,
Baseline,thorax_bc,0.9750573389377566,0.20089368341377944,0.0,0.0,
Baseline,abdomen,0.7720600919569676,0.04993201934887648,0.0,0.0,
Baseline,leg_ml_in,0.9920304021322703,0.10694701808231949,0.0,0.0,
Baseline,leg_ml_c,1.3602585277323667,0.2905910999397588,0.0,0.0,
Baseline, leg_mr_in,1.1489033149684165,0.19030779645898266,0.0,0.0,
Baseline,leg_mr_c,1.2377676158953044,0.1252717921175643,0.0,0.0,
Baseline,leg_fl_tip,6.043920341382109,5.995487211658976,0.0,0.0,
Baseline,leg_ml_tip,4.872930668134826,4.909566086800061,0.0,0.0,
Baseline,leg_bl_tip,6.287342040446728,3.658240832085636,0.0,0.0,
Baseline,leg_br_tip,5.440005928831765,3.529918328984232,0.0,0.0,
Baseline,leg_mr_tip,5.023922090007622,4.990302189135766,0.0,0.0,
Baseline,leg_fr_tip,6.9758515384977695,6.81740563033713,0.0,0.0,
Mild Gaussian Blur,head_fc,2.631526052667083,3.0128771753447765,0.6181542057446938,0.6489510665647509,100.0
Mild Gaussian Blur,head_bl,1.4660303564125137,0.33579473488492884,0.015403249887872273,0.5267746717768769,20.0
Mild Gaussian Blur,head_br,1.5494893852505558,0.959164646386559,0.39278593108087534,0.5082357107399894,80.0
Mild Gaussian Blur,thorax_fr,1.5516462238433801,0.9351503542295098,0.2999496078487728,0.6522331381864721,60.0
Mild Gaussian Blur,thorax_fl,1.12287977245616,0.4427919481707292,0.14759407352315906,0.16154331905331695,80.0
Mild Gaussian Blur,thorax_bc,1.0479410098353081,0.16826439226955295,0.07288367089755161,0.1754957681050117,80.0
Mild Gaussian Blur,abdomen,0.8061517581683137,0.06619003827226995,0.034091666211346294,0.0909197841926773,80.0
Mild Gaussian Blur,leg_ml_in,1.1769412542331619,0.19416517462990981,0.18491085210089173,0.1343532222120231,100.0
Mild Gaussian Blur,leg_ml_c,1.6222954989266776,0.3609446353214477,0.2620369711943109,0.23492083565987582,80.0
Mild Gaussian Blur, leg_mr_in,1.4660534193666406,0.6275491136910928,0.3171501043982241,0.5029494520787867,80.0
Mild Gaussian Blur,leg_mr_c,1.570527616276501,0.2725930544625387,0.33276000038119635,0.2254764301645594,100.0
Mild Gaussian Blur,leg_fl_tip,7.454391579550882,5.818286036807007,1.4104712381687734,0.6967308806862031,100.0
Mild Gaussian Blur,leg_ml_tip,7.18756678846689,4.222623239898868,2.3146361203320636,2.4464372249287,100.0
Mild Gaussian Blur,leg_bl_tip,9.042422101711633,2.4333297342015836,2.7550800612649033,2.5324590387055332,80.0
Mild Gaussian Blur,leg_br_tip,8.431283873842965,1.6160362520285054,2.9912779450111997,2.0074044077995556,80.0
Mild Gaussian Blur,leg_mr_tip,7.265793244334477,3.8266665744740234,2.2418711543268537,2.5177282599993798,80.0
Mild Gaussian Blur,leg_fr_tip,8.809189810970382,6.213360965926295,1.8333382724726115,1.3423510529570704,100.0
Strong Gaussian Blur,head_fc,13.548163200453683,17.277308343337157,11.534791353531293,16.94119278002772,100.0
Strong Gaussian Blur,head_bl,7.487350688161865,7.569425168517874,6.036723581637224,7.748388269845396,80.0
Strong Gaussian Blur,head_br,7.902987347315436,6.825987450599898,6.7462838931457565,6.322121515711212,100.0
Strong Gaussian Blur,thorax_fr,7.7704350338621335,6.264338622299829,6.518738417867527,6.005705061350999,80.0
Strong Gaussian Blur,thorax_fl,6.668372267419294,6.349095027628302,5.693086568486292,6.157638479171606,100.0
Strong Gaussian Blur,thorax_bc,3.3393435910407363,1.459743816874858,2.36428625210298,1.5097354178384739,100.0
Strong Gaussian Blur,abdomen,0.8937298858400264,0.19596304143062418,0.1216697938830589,0.23651671014151032,60.0
Strong Gaussian Blur,leg_ml_in,6.4010284025784445,6.102168131550584,5.408998000446173,6.0354840370874285,100.0
Strong Gaussian Blur,leg_ml_c,6.9378494990880615,5.206433174439211,5.577590971355695,5.1731544345949345,100.0
Strong Gaussian Blur, leg_mr_in,7.317644340915896,2.993384686474504,6.16874102594748,3.0209585180865495,100.0
Strong Gaussian Blur,leg_mr_c,6.107556140104339,1.5778036425647297,4.869788524209035,1.649892578478202,100.0
Strong Gaussian Blur,leg_fl_tip,15.839439953822481,7.9544155179765665,9.795519612440373,2.3088581282823766,100.0
Strong Gaussian Blur,leg_ml_tip,14.809190755496996,3.875175323509132,9.936260087362172,7.91575655164304,80.0
Strong Gaussian Blur,leg_bl_tip,16.193754654501795,4.858465572479925,9.906412614055068,7.763302144159408,80.0
Strong Gaussian Blur,leg_br_tip,15.501374500420548,3.4233256264531025,10.061368571588783,6.7131908030397165,100.0
Strong Gaussian Blur,leg_mr_tip,17.209004582095474,4.407465902615367,12.185082492087853,8.962799904075228,80.0
Strong Gaussian Blur,leg_fr_tip,14.280559540497581,5.830577529397395,7.304708001999811,2.634979632824986,100.0
Gaussian Noise,head_fc,45.71060699071956,49.60035608607552,43.69723514379718,48.698622784143595,100.0
Gaussian Noise,head_bl,21.624005986018823,25.620421756181923,20.17337887949418,25.619839725272797,100.0
Gaussian Noise,head_br,37.742646320542,44.64782475464309,36.58594286637232,44.51656026531532,100.0
Gaussian Noise,thorax_fr,32.212885893676805,35.233142451504435,30.961189277682188,35.267495136109105,100.0
Gaussian Noise,thorax_fl,12.584603092443107,19.732132998846453,11.609317393510105,19.451321863325834,100.0
Gaussian Noise,thorax_bc,24.96354644982322,43.744260415162834,23.988489110885464,43.773518685871366,100.0
Gaussian Noise,abdomen,40.55868261924115,55.46418255597344,39.78662252728418,55.45722149036547,100.0
Gaussian Noise,leg_ml_in,12.052915789725906,13.913004217071983,11.060885387593634,13.88011208481219,100.0
Gaussian Noise,leg_ml_c,36.749960471742035,47.67211228477495,35.38970194400967,47.58350585130555,100.0
Gaussian Noise, leg_mr_in,18.83796655496128,23.204998656223776,17.689063239992866,23.316876518408872,100.0
Gaussian Noise,leg_mr_c,34.4700168421188,54.005904494678454,33.232249226223495,53.97009115080825,100.0
Gaussian Noise,leg_fl_tip,43.71826583743848,32.639918156158735,37.674345496056375,31.978668358937128,100.0
Gaussian Noise,leg_ml_tip,44.96232909042687,41.05222513000463,40.08939842229204,42.0697232987222,100.0
Gaussian Noise,leg_bl_tip,49.598014830344404,35.20160399413206,43.31067278989767,37.0514237124488,100.0
Gaussian Noise,leg_br_tip,46.69535890730839,48.75825406105824,41.25535297847662,50.608042740117746,100.0
Gaussian Noise,leg_mr_tip,48.76034138749657,25.553894918217466,43.73641929748894,25.839889716461958,100.0
Gaussian Noise,leg_fr_tip,40.246602762122755,33.20787934624758,33.270751223624984,33.44098554302284,100.0
Brightness,head_fc,1.2994583399924635,0.9355227552920388,-0.7139135069299257,1.5952502409052225,40.0
Brightness,head_bl,1.5349122742844732,0.7247991203163711,0.08428516775983166,0.42741685342428676,60.0
Brightness,head_br,1.0254476362435299,0.28935422579492825,-0.13125581792615024,0.32044273373095034,60.0
Brightness,thorax_fr,1.3153993218893032,0.5346580504620567,0.06370270589469548,0.28332274339699115,40.0
Brightness,thorax_fl,0.9823760751964098,0.23028982068278872,0.007090376263408471,0.2528293770714082,40.0
Brightness,thorax_bc,0.9898678402518802,0.22090617852234967,0.014810501314123693,0.04282613603281596,40.0
Brightness,abdomen,1.0091035704334197,0.2241843289891141,0.23704347847645213,0.25462767486000926,80.0
Brightness,leg_ml_in,1.0618920591580499,0.15024324493997382,0.06986165702577966,0.12675026171681833,60.0
Brightness,leg_ml_c,1.5278889371490405,0.3271175458633844,0.16763040941667393,0.38162017481074567,60.0
Brightness, leg_mr_in,1.3214113061022255,0.24574767311684795,0.17250799113380916,0.23757667882170772,80.0
Brightness,leg_mr_c,1.5269779702968056,0.22191432136735603,0.289210354401501,0.14320641461867128,100.0
Brightness,leg_fl_tip,7.127162184892022,4.316048128276477,1.0832418435099134,2.422119541032635,60.0
Brightness,leg_ml_tip,8.036367479649005,3.248055923132289,3.163436811514179,2.2525888597661856,100.0
Brightness,leg_bl_tip,9.288647327745759,1.8280084698178471,3.0013052872990302,2.903829203059283,80.0
Brightness,leg_br_tip,8.627160306686827,1.5670696562473967,3.1871543778550624,2.757296470021906,80.0
Brightness,leg_mr_tip,10.342944106428568,5.34606745403254,5.319022016420948,4.2618286425406895,100.0
Brightness,leg_fr_tip,7.371244660791487,4.08763420539422,0.39539312229371715,4.085918714430876,60.0
Contrast,head_fc,1.8625846386103766,2.235585187367435,-0.15078720831201242,0.28367693007648626,60.0
Contrast,head_bl,1.4042521419433789,0.2956257870613224,-0.04637496458126256,0.35583107744011616,40.0
Contrast,head_br,1.1470773070689888,0.36789595225370336,-0.009626147100691495,0.2799458951997143,40.0
Contrast,thorax_fr,1.5176487563148773,0.7012299642424143,0.26595214032026976,0.5508394073851307,80.0
Contrast,thorax_fl,1.0839712114039564,0.3519357439967978,0.10868551247095504,0.07982437797927486,100.0
Contrast,thorax_bc,1.1968245518717873,0.29572474938674426,0.2217672129340306,0.1311155535119676,100.0
Contrast,abdomen,0.8890520241301155,0.12563236060138502,0.116991932173148,0.11776910793463853,80.0
Contrast,leg_ml_in,1.2136209544743832,0.3279391014116022,0.22159055234211297,0.23124490389401464,100.0
Contrast,leg_ml_c,1.419822588489051,0.1621603476242477,0.05956406075668434,0.2893688521299763,60.0
Contrast, leg_mr_in,1.4901126131392437,0.5085238697470227,0.3412092981708274,0.37347198503168677,100.0
Contrast,leg_mr_c,1.3825651867193094,0.24186076767313047,0.14479757082400496,0.22956531337133287,80.0
Contrast,leg_fl_tip,6.001701266617412,6.1101357256423245,-0.04221907476469631,1.3611647702016996,60.0
Contrast,leg_ml_tip,5.0824179951717685,4.705141704367868,0.2094873270369419,0.5999706181132854,60.0
Contrast,leg_bl_tip,6.407227214258567,3.7374422420381546,0.11988517381183979,0.5113489366148675,60.0
Contrast,leg_br_tip,5.509208448511948,3.0910173025299486,0.06920251968018362,0.6698061071441225,40.0
Contrast,leg_mr_tip,6.0485882842614185,5.9986195627317285,1.0246661942537956,1.897888031267322,60.0
Contrast,leg_fr_tip,6.251357140993341,5.854954904619467,-0.7244943975044291,1.5349762367661108,40.0
Central Occlusion,head_fc,58.01276562627827,41.59647596374848,55.999393779355884,39.46994892386286,100.0
Central Occlusion,head_bl,58.90724720805174,32.61538067265153,57.45662010152711,32.81825871125267,100.0
Central Occlusion,head_br,43.626281916388926,9.976832278940073,42.46957846221924,9.557759619039631,100.0
Central Occlusion,thorax_fr,44.44084115669821,6.877180216158979,43.1891445407036,6.595802707113434,100.0
Central Occlusion,thorax_fl,43.636039336183316,9.171336950894801,42.66075363725032,9.100817086257875,100.0
Central Occlusion,thorax_bc,51.88603032041211,11.586047335214127,50.91097298147436,11.660210213685573,100.0
Central Occlusion,abdomen,51.61171365885573,23.96732889797023,50.839653566898754,23.99179749203256,100.0
Central Occlusion,leg_ml_in,45.48437904042599,10.144002865038557,44.49234863829372,10.136809479667326,100.0
Central Occlusion,leg_ml_c,44.365113870253914,7.4260804945299705,43.00485534252155,7.525109266978821,100.0
Central Occlusion, leg_mr_in,50.79702015757705,8.563362911271577,49.64811684260864,8.604861979126195,100.0
Central Occlusion,leg_mr_c,59.686314123364056,10.326297655864037,58.448546507468755,10.440287499843052,100.0
Central Occlusion,leg_fl_tip,44.238040198695614,18.35957684789759,38.194119857313495,13.671529639683783,100.0
Central Occlusion,leg_ml_tip,44.738322709921945,17.282663225785278,39.86539204178711,13.747469141248285,100.0
Central Occlusion,leg_bl_tip,42.65906282567359,19.4463921883807,36.37172078522686,22.4035830305191,100.0
Central Occlusion,leg_br_tip,62.936384147984406,22.519692310418442,57.496378219152646,24.378235908429268,100.0
Central Occlusion,leg_mr_tip,63.35019905395755,22.124220934342954,58.32627696394993,25.357891024969057,100.0
Central Occlusion,leg_fr_tip,39.365832648112516,10.6640335990332,32.38998110961474,10.923137608610329,100.0
