Run,Seed,Condition,Landmark,Mean error (px),PCK@5 (%)
1,11,Baseline,head_fc,0.8534136957535751,100.0
1,11,Baseline,head_bl,1.3280818431466288,100.0
1,11,Baseline,head_br,1.1974625827860816,100.0
1,11,Baseline,thorax_fr,1.6425185801265005,100.0
1,11,Baseline,thorax_fl,0.8841221167813668,100.0
1,11,Baseline,thorax_bc,0.8191704772129967,100.0
1,11,Baseline,abdomen,0.7751184787481645,100.0
1,11,Baseline,leg_ml_in,0.9668759990923722,100.0
1,11,Baseline,leg_ml_c,1.673676650273086,98.812351543943
1,11,Baseline, leg_mr_in,1.3505095594622103,99.7624703087886
1,11,Baseline,leg_mr_c,1.30074696874008,99.7624703087886
1,11,Baseline,leg_fl_tip,8.014973447354867,41.56769596199525
1,11,Baseline,leg_ml_tip,5.922595344592753,56.057007125890735
1,11,Baseline,leg_bl_tip,7.511420416897897,50.5938242280285
1,11,Baseline,leg_br_tip,6.564640605791561,54.63182897862233
1,11,Baseline,leg_mr_tip,6.526110402499563,63.42042755344418
1,11,Baseline,leg_fr_tip,12.778343108656193,25.415676959619955
1,11,Mild Gaussian Blur,head_fc,2.020024982241895,94.77434679334917
1,11,Mild Gaussian Blur,head_bl,1.2950091060445996,100.0
1,11,Mild Gaussian Blur,head_br,2.3908536960054096,98.09976247030879
1,11,Mild Gaussian Blur,thorax_fr,3.041920461929204,87.64845605700712
1,11,Mild Gaussian Blur,thorax_fl,1.0506675540772432,100.0
1,11,Mild Gaussian Blur,thorax_bc,0.8867999150081604,100.0
1,11,Mild Gaussian Blur,abdomen,0.7815795398198576,100.0
1,11,Mild Gaussian Blur,leg_ml_in,1.2879650243533467,99.7624703087886
1,11,Mild Gaussian Blur,leg_ml_c,1.827964631350921,98.09976247030879
1,11,Mild Gaussian Blur, leg_mr_in,2.554308246102314,97.8622327790974
1,11,Mild Gaussian Blur,leg_mr_c,2.02813203632643,97.14964370546319
1,11,Mild Gaussian Blur,leg_fl_tip,9.721913837492284,34.441805225653205
1,11,Mild Gaussian Blur,leg_ml_tip,8.029966432877703,42.517814726840854
1,11,Mild Gaussian Blur,leg_bl_tip,10.372376971578538,13.539192399049881
1,11,Mild Gaussian Blur,leg_br_tip,8.65723684694369,41.09263657957244
1,11,Mild Gaussian Blur,leg_mr_tip,9.741795518789582,38.95486935866984
1,11,Mild Gaussian Blur,leg_fr_tip,14.432031185250967,9.026128266033254
1,11,Strong Gaussian Blur,head_fc,41.087883293415544,0.0
1,11,Strong Gaussian Blur,head_bl,4.956631643824669,57.24465558194775
1,11,Strong Gaussian Blur,head_br,13.6615309084063,8.551068883610451
1,11,Strong Gaussian Blur,thorax_fr,13.391102242577388,0.23752969121140144
1,11,Strong Gaussian Blur,thorax_fl,3.8878553948928265,74.58432304038006
1,11,Strong Gaussian Blur,thorax_bc,2.5710734491034075,87.17339667458432
